ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 2 name,Attribute 2 value(s),Attribute 3 name,Attribute 3 value(s),Attribute 4 name,Attribute 4 value(s),Attribute 5 name,Attribute 5 value(s),Meta: _wpcom_is_markdown,Download 1 name,Download 1 URL,Download 2 name,Download 2 URL
14,variation,MH01-XL-Black,Chaz Kangeroo Hoodie-XL-Black,1,0,visible,,"<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p> <p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>",,,,,1,100,0,0,1,,,,1,,,52,Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing,,,http://eimages.valtim.com/acme-images/product/m/h/mh01-black_main.jpg,,,MH01,,,,,,,Size,XL,Color,Black,,,,,,,,,,,
15,variation,MH01-XL-Gray,Chaz Kangeroo Hoodie-XL-Gray,1,0,visible,,"<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p> <p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>",,,,,1,100,0,0,1,,,,1,,,52,Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing,,,"http://eimages.valtim.com/acme-images/product/m/h/mh01-gray_main.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh01-gray_alt1.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh01-gray_back.jpg",,,MH01,,,,,,,Size,XL,Color,Gray,,,,,,,,,,,
16,variation,MH01-XL-Orange,Chaz Kangeroo Hoodie-XL-Orange,1,0,visible,,"<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p> <p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>",,,,,1,100,0,0,1,,,,1,,,52,Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing,,,http://eimages.valtim.com/acme-images/product/m/h/mh01-orange_main.jpg,,,MH01,,,,,,,Size,XL,Color,Orange,,,,,,,,,,,
2,variation,MH01-XS-Black,Chaz Kangeroo Hoodie-XS-Black,1,0,visible,,"<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p> <p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>",,,,,1,100,0,0,1,,,,1,,,52,Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing,,,http://eimages.valtim.com/acme-images/product/m/h/mh01-black_main.jpg,,,MH01,,,,,,,Size,XS,Color,Black,,,,,,,,,,,
3,variation,MH01-XS-Gray,Chaz Kangeroo Hoodie-XS-Gray,1,0,visible,,"<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p> <p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>",,,,,1,100,0,0,1,,,,1,,,52,Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing,,,"http://eimages.valtim.com/acme-images/product/m/h/mh01-gray_main.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh01-gray_alt1.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh01-gray_back.jpg",,,MH01,,,,,,,Size,XS,Color,Gray,,,,,,,,,,,
4,variation,MH01-XS-Orange,Chaz Kangeroo Hoodie-XS-Orange,1,0,visible,,"<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p> <p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>",,,,,1,100,0,0,1,,,,1,,,52,Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing,,,http://eimages.valtim.com/acme-images/product/m/h/mh01-orange_main.jpg,,,MH01,,,,,,,Size,XS,Color,Orange,,,,,,,,,,,
33,variable,MH02,Teton Pullover Hoodie,1,0,visible,This is a variable product called a Teton Pullover Hoodie,"<p>This Teton Pullover Hoodie gives you more than laid-back style. It's equipped with moisture-wicking fabric to keep light and dry inside, especially in chilly-weather workouts. An elasticized hem lets you move about freely.</p> <p>&bull; Black pullover hoodie.<br />&bull; Soft, brushed interior. <br />&bull; Front hand pockets. <br />&bull; Machine wash/dry.</p>",,,,,1,0,0,0,,,,,1,,,70,Clothing>Men>Tops>Hoodies & Sweatshirts,,,"http://eimages.valtim.com/acme-images/product/m/h/mh02-black_main.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh02-black_alt1.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh02-black_back.jpg",,,,,,,,,,Size,XS|S|M|L|XL,Color,Black|Purple|Red,,,,,,,,,,,
27,variation,MH02-L-Black,Teton Pullover Hoodie-L-Black,1,0,visible,,"<p>This Teton Pullover Hoodie gives you more than laid-back style. It's equipped with moisture-wicking fabric to keep light and dry inside, especially in chilly-weather workouts. An elasticized hem lets you move about freely.</p> <p>&bull; Black pullover hoodie.<br />&bull; Soft, brushed interior. <br />&bull; Front hand pockets. <br />&bull; Machine wash/dry.</p>",,,,,1,100,0,0,1,,,,1,,,70,Clothing>Men>Tops>Hoodies & Sweatshirts,,,"http://eimages.valtim.com/acme-images/product/m/h/mh02-black_main.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh02-black_alt1.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh02-black_back.jpg",,,MH02,,,,,,,Size,L,Color,Black,,,,,,,,,,,
28,variation,MH02-L-Purple,Teton Pullover Hoodie-L-Purple,1,0,visible,,"<p>This Teton Pullover Hoodie gives you more than laid-back style. It's equipped with moisture-wicking fabric to keep light and dry inside, especially in chilly-weather workouts. An elasticized hem lets you move about freely.</p> <p>&bull; Black pullover hoodie.<br />&bull; Soft, brushed interior. <br />&bull; Front hand pockets. <br />&bull; Machine wash/dry.</p>",,,,,1,100,0,0,1,,,,1,,,70,Clothing>Men>Tops>Hoodies & Sweatshirts,,,http://eimages.valtim.com/acme-images/product/m/h/mh02-purple_main.jpg,,,MH02,,,,,,,Size,L,Color,Purple,,,,,,,,,,,
29,variation,MH02-L-Red,Teton Pullover Hoodie-L-Red,1,0,visible,,"<p>This Teton Pullover Hoodie gives you more than laid-back style. It's equipped with moisture-wicking fabric to keep light and dry inside, especially in chilly-weather workouts. An elasticized hem lets you move about freely.</p> <p>&bull; Black pullover hoodie.<br />&bull; Soft, brushed interior. <br />&bull; Front hand pockets. <br />&bull; Machine wash/dry.</p>",,,,,1,100,0,0,1,,,,1,,,70,Clothing>Men>Tops>Hoodies & Sweatshirts,,,http://eimages.valtim.com/acme-images/product/m/h/mh02-red_main.jpg,,,MH02,,,,,,,Size,L,Color,Red,,,,,,,,,,,
24,variation,MH02-M-Black,Teton Pullover Hoodie-M-Black,1,0,visible,,"<p>This Teton Pullover Hoodie gives you more than laid-back style. It's equipped with moisture-wicking fabric to keep light and dry inside, especially in chilly-weather workouts. An elasticized hem lets you move about freely.</p> <p>&bull; Black pullover hoodie.<br />&bull; Soft, brushed interior. <br />&bull; Front hand pockets. <br />&bull; Machine wash/dry.</p>",,,,,1,100,0,0,1,,,,1,,,70,Clothing>Men>Tops>Hoodies & Sweatshirts,,,"http://eimages.valtim.com/acme-images/product/m/h/mh02-black_main.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh02-black_alt1.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh02-black_back.jpg",,,MH02,,,,,,,Size,M,Color,Black,,,,,,,,,,,
25,variation,MH02-M-Purple,Teton Pullover Hoodie-M-Purple,1,0,visible,,"<p>This Teton Pullover Hoodie gives you more than laid-back style. It's equipped with moisture-wicking fabric to keep light and dry inside, especially in chilly-weather workouts. An elasticized hem lets you move about freely.</p> <p>&bull; Black pullover hoodie.<br />&bull; Soft, brushed interior. <br />&bull; Front hand pockets. <br />&bull; Machine wash/dry.</p>",,,,,1,100,0,0,1,,,,1,,,70,Clothing>Men>Tops>Hoodies & Sweatshirts,,,http://eimages.valtim.com/acme-images/product/m/h/mh02-purple_main.jpg,,,MH02,,,,,,,Size,M,Color,Purple,,,,,,,,,,,
26,variation,MH02-M-Red,Teton Pullover Hoodie-M-Red,1,0,visible,,"<p>This Teton Pullover Hoodie gives you more than laid-back style. It's equipped with moisture-wicking fabric to keep light and dry inside, especially in chilly-weather workouts. An elasticized hem lets you move about freely.</p> <p>&bull; Black pullover hoodie.<br />&bull; Soft, brushed interior. <br />&bull; Front hand pockets. <br />&bull; Machine wash/dry.</p>",,,,,1,100,0,0,1,,,,1,,,70,Clothing>Men>Tops>Hoodies & Sweatshirts,,,http://eimages.valtim.com/acme-images/product/m/h/mh02-red_main.jpg,,,MH02,,,,,,,Size,M,Color,Red,,,,,,,,,,,
21,variation,MH02-S-Black,Teton Pullover Hoodie-S-Black,1,0,visible,,"<p>This Teton Pullover Hoodie gives you more than laid-back style. It's equipped with moisture-wicking fabric to keep light and dry inside, especially in chilly-weather workouts. An elasticized hem lets you move about freely.</p> <p>&bull; Black pullover hoodie.<br />&bull; Soft, brushed interior. <br />&bull; Front hand pockets. <br />&bull; Machine wash/dry.</p>",,,,,1,100,0,0,1,,,,1,,,70,Clothing>Men>Tops>Hoodies & Sweatshirts,,,"http://eimages.valtim.com/acme-images/product/m/h/mh02-black_main.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh02-black_alt1.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh02-black_back.jpg",,,MH02,,,,,,,Size,S,Color,Black,,,,,,,,,,,
22,variation,MH02-S-Purple,Teton Pullover Hoodie-S-Purple,1,0,visible,,"<p>This Teton Pullover Hoodie gives you more than laid-back style. It's equipped with moisture-wicking fabric to keep light and dry inside, especially in chilly-weather workouts. An elasticized hem lets you move about freely.</p> <p>&bull; Black pullover hoodie.<br />&bull; Soft, brushed interior. <br />&bull; Front hand pockets. <br />&bull; Machine wash/dry.</p>",,,,,1,100,0,0,1,,,,1,,,70,Clothing>Men>Tops>Hoodies & Sweatshirts,,,http://eimages.valtim.com/acme-images/product/m/h/mh02-purple_main.jpg,,,MH02,,,,,,,Size,S,Color,Purple,,,,,,,,,,,
23,variation,MH02-S-Red,Teton Pullover Hoodie-S-Red,1,0,visible,,"<p>This Teton Pullover Hoodie gives you more than laid-back style. It's equipped with moisture-wicking fabric to keep light and dry inside, especially in chilly-weather workouts. An elasticized hem lets you move about freely.</p> <p>&bull; Black pullover hoodie.<br />&bull; Soft, brushed interior. <br />&bull; Front hand pockets. <br />&bull; Machine wash/dry.</p>",,,,,1,100,0,0,1,,,,1,,,70,Clothing>Men>Tops>Hoodies & Sweatshirts,,,http://eimages.valtim.com/acme-images/product/m/h/mh02-red_main.jpg,,,MH02,,,,,,,Size,S,Color,Red,,,,,,,,,,,
30,variation,MH02-XL-Black,Teton Pullover Hoodie-XL-Black,1,0,visible,,"<p>This Teton Pullover Hoodie gives you more than laid-back style. It's equipped with moisture-wicking fabric to keep light and dry inside, especially in chilly-weather workouts. An elasticized hem lets you move about freely.</p> <p>&bull; Black pullover hoodie.<br />&bull; Soft, brushed interior. <br />&bull; Front hand pockets. <br />&bull; Machine wash/dry.</p>",,,,,1,100,0,0,1,,,,1,,,70,Clothing>Men>Tops>Hoodies & Sweatshirts,,,"http://eimages.valtim.com/acme-images/product/m/h/mh02-black_main.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh02-black_alt1.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh02-black_back.jpg",,,MH02,,,,,,,Size,XL,Color,Black,,,,,,,,,,,
31,variation,MH02-XL-Purple,Teton Pullover Hoodie-XL-Purple,1,0,visible,,"<p>This Teton Pullover Hoodie gives you more than laid-back style. It's equipped with moisture-wicking fabric to keep light and dry inside, especially in chilly-weather workouts. An elasticized hem lets you move about freely.</p> <p>&bull; Black pullover hoodie.<br />&bull; Soft, brushed interior. <br />&bull; Front hand pockets. <br />&bull; Machine wash/dry.</p>",,,,,1,100,0,0,1,,,,1,,,70,Clothing>Men>Tops>Hoodies & Sweatshirts,,,http://eimages.valtim.com/acme-images/product/m/h/mh02-purple_main.jpg,,,MH02,,,,,,,Size,XL,Color,Purple,,,,,,,,,,,
32,variation,MH02-XL-Red,Teton Pullover Hoodie-XL-Red,1,0,visible,,"<p>This Teton Pullover Hoodie gives you more than laid-back style. It's equipped with moisture-wicking fabric to keep light and dry inside, especially in chilly-weather workouts. An elasticized hem lets you move about freely.</p> <p>&bull; Black pullover hoodie.<br />&bull; Soft, brushed interior. <br />&bull; Front hand pockets. <br />&bull; Machine wash/dry.</p>",,,,,1,100,0,0,1,,,,1,,,70,Clothing>Men>Tops>Hoodies & Sweatshirts,,,http://eimages.valtim.com/acme-images/product/m/h/mh02-red_main.jpg,,,MH02,,,,,,,Size,XL,Color,Red,,,,,,,,,,,
18,variation,MH02-XS-Black,Teton Pullover Hoodie-XS-Black,1,0,visible,,"<p>This Teton Pullover Hoodie gives you more than laid-back style. It's equipped with moisture-wicking fabric to keep light and dry inside, especially in chilly-weather workouts. An elasticized hem lets you move about freely.</p> <p>&bull; Black pullover hoodie.<br />&bull; Soft, brushed interior. <br />&bull; Front hand pockets. <br />&bull; Machine wash/dry.</p>",,,,,1,100,0,0,1,,,,1,,,70,Clothing>Men>Tops>Hoodies & Sweatshirts,,,"http://eimages.valtim.com/acme-images/product/m/h/mh02-black_main.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh02-black_alt1.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh02-black_back.jpg",,,MH02,,,,,,,Size,XS,Color,Black,,,,,,,,,,,
19,variation,MH02-XS-Purple,Teton Pullover Hoodie-XS-Purple,1,0,visible,,"<p>This Teton Pullover Hoodie gives you more than laid-back style. It's equipped with moisture-wicking fabric to keep light and dry inside, especially in chilly-weather workouts. An elasticized hem lets you move about freely.</p> <p>&bull; Black pullover hoodie.<br />&bull; Soft, brushed interior. <br />&bull; Front hand pockets. <br />&bull; Machine wash/dry.</p>",,,,,1,100,0,0,1,,,,1,,,70,Clothing>Men>Tops>Hoodies & Sweatshirts,,,http://eimages.valtim.com/acme-images/product/m/h/mh02-purple_main.jpg,,,MH02,,,,,,,Size,XS,Color,Purple,,,,,,,,,,,
20,variation,MH02-XS-Red,Teton Pullover Hoodie-XS-Red,1,0,visible,,"<p>This Teton Pullover Hoodie gives you more than laid-back style. It's equipped with moisture-wicking fabric to keep light and dry inside, especially in chilly-weather workouts. An elasticized hem lets you move about freely.</p> <p>&bull; Black pullover hoodie.<br />&bull; Soft, brushed interior. <br />&bull; Front hand pockets. <br />&bull; Machine wash/dry.</p>",,,,,1,100,0,0,1,,,,1,,,70,Clothing>Men>Tops>Hoodies & Sweatshirts,,,http://eimages.valtim.com/acme-images/product/m/h/mh02-red_main.jpg,,,MH02,,,,,,,Size,XS,Color,Red,,,,,,,,,,,
49,variable,MH03,Bruno Compete Hoodie,1,0,visible,This is a variable product called a Bruno Compete Hoodie,"<p>Stay comfortable and stay in the race no matter what the weather's up to. The Bruno Compete Hoodie's water-repellent exterior shields you from the elements, while advanced fabric technology inside wicks moisture to keep you dry.</p> <p>&bull; Full zip black hoodie pullover. <br />&bull; Adjustable drawstring hood. <br />&bull; Ribbed cuffs/waistband. <br />&bull; Kangaroo pocket. <br />&bull; Machine wash/dry.</p>",,,,,1,0,0,0,,,,,1,,,63,Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing,,,"http://eimages.valtim.com/acme-images/product/m/h/mh03-black_main.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh03-black_alt1.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh03-black_back.jpg",,,,,,,,,,Size,XS|S|M|L|XL,Color,Black|Blue|Green,,,,,,,,,,,
43,variation,MH03-L-Black,Bruno Compete Hoodie-L-Black,1,0,visible,,"<p>Stay comfortable and stay in the race no matter what the weather's up to. The Bruno Compete Hoodie's water-repellent exterior shields you from the elements, while advanced fabric technology inside wicks moisture to keep you dry.</p> <p>&bull; Full zip black hoodie pullover. <br />&bull; Adjustable drawstring hood. <br />&bull; Ribbed cuffs/waistband. <br />&bull; Kangaroo pocket. <br />&bull; Machine wash/dry.</p>",,,,,1,100,0,0,1,,,,1,,,63,Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing,,,"http://eimages.valtim.com/acme-images/product/m/h/mh03-black_main.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh03-black_alt1.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh03-black_back.jpg",,,MH03,,,,,,,Size,L,Color,Black,,,,,,,,,,,
44,variation,MH03-L-Blue,Bruno Compete Hoodie-L-Blue,1,0,visible,,"<p>Stay comfortable and stay in the race no matter what the weather's up to. The Bruno Compete Hoodie's water-repellent exterior shields you from the elements, while advanced fabric technology inside wicks moisture to keep you dry.</p> <p>&bull; Full zip black hoodie pullover. <br />&bull; Adjustable drawstring hood. <br />&bull; Ribbed cuffs/waistband. <br />&bull; Kangaroo pocket. <br />&bull; Machine wash/dry.</p>",,,,,1,100,0,0,1,,,,1,,,63,Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing,,,http://eimages.valtim.com/acme-images/product/m/h/mh03-blue_main.jpg,,,MH03,,,,,,,Size,L,Color,Blue,,,,,,,,,,,
45,variation,MH03-L-Green,Bruno Compete Hoodie-L-Green,1,0,visible,,"<p>Stay comfortable and stay in the race no matter what the weather's up to. The Bruno Compete Hoodie's water-repellent exterior shields you from the elements, while advanced fabric technology inside wicks moisture to keep you dry.</p> <p>&bull; Full zip black hoodie pullover. <br />&bull; Adjustable drawstring hood. <br />&bull; Ribbed cuffs/waistband. <br />&bull; Kangaroo pocket. <br />&bull; Machine wash/dry.</p>",,,,,1,100,0,0,1,,,,1,,,63,Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing,,,http://eimages.valtim.com/acme-images/product/m/h/mh03-green_main.jpg,,,MH03,,,,,,,Size,L,Color,Green,,,,,,,,,,,
